병원코드,병원명,주소,응급연락처,위도,경도,응급실수,수술실수,자치구,가용응급실수,가용수술실수,뇌출혈,뇌경색,심근경색,복부손상,사지접합,응급투석,조산산모,신생아,중증화상,응급실가용율,응급실포화도
A2300001,충북대학교병원,"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",043-269-6114,36.62416682483455,127.4614360502226,38,13,충청북도,3.0,12.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.07894736842105263,불가
A2400010,충청남도공주의료원,충청남도 공주시 무령로 77 (웅진동),041-962-1365,36.45905455773722,127.10921562289596,15,6,충청남도,11.0,6.0,N,N,N,N,N,N,N,N,N,0.7333333333333333,원활
A2400006,충청남도서산의료원,충청남도 서산시 중앙로 149 (석림동),041-689-7119,36.77556877677842,126.46515725738563,21,3,충청남도,12.0,3.0,N,N,N,N,N,Y,N,N,Y,0.5714285714285714,보통
A2300006,충청북도청주의료원,"충청북도 청주시 서원구 흥덕로 48-0 (사직동,청주의료원)",043-279-0119,36.6401389722304,127.473087555201,10,5,충청북도,11.0,4.0,N,N,N,Y,N,Y,N,N,Y,1.0,원활
A1500017,하남성심병원,광주광역시 광산구 용아로 259 하남성심병원 (산정동),062-958-1250,35.1664063968,126.800894228816,20,4,광주광역시,17.0,1.0,N,N,N,Y,N,Y,N,N,N0,0.85,원활
A1600006,학교법인 건양교육재단 건양대학교병원,"대전광역시 서구 관저동로 158, 건양대학교병원 (관저동)",042-600-9119,36.306711701457246,127.34263046359918,32,16,대전광역시,6.0,20.0,N,N,N,N,N,Y,Y,Y,Y,0.1875,혼잡
A1600005,학교법인가톨릭학원가톨릭대학교대전성모병원,대전광역시 중구 대흥로 64 (대흥동),042-220-9118,36.32302490017959,127.42027313317438,22,12,대전광역시,3.0,8.0,Y,Y,Y,Y,N0,Y,Y,N0,Y,0.13636363636363635,혼잡
A2400038,학교법인건양교육재단건양대학교부여병원,충청남도 부여군 부여읍 계백로 200,041-837-1201,36.27555409443824,126.90169662482884,10,1,충청남도,8.0,1.0,N,N,N,N,N,N,N,N,N,0.8,원활
A1700004,학교법인울산공업학원울산대학교병원,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,35.5200593154,129.4288047478,31,19,울산광역시,0.0,15.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A1600002,학교법인을지학원대전을지대학교병원,대전광역시 서구 둔산서로 95 (둔산동),042-259-1119,36.35506871267816,127.38199955857137,27,15,대전광역시,5.0,13.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.18518518518518517,혼잡
A1100053,한국보훈복지의료공단 중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),02-2225-1100,37.52822090089664,127.14671886173552,30,14,서울특별시,0.0,13.0,Y,Y,Y,Y,Y,Y,Y,N,Y,0.0,불가
A1300011,한국보훈복지의료공단대구보훈병원,대구광역시 달서구 월곡로 60 (도원동),053-630-7014,35.80313747018647,128.55164640976287,14,6,대구광역시,9.0,6.0,N,N,N,N,N,N,N,N,N,0.6428571428571429,원활
A2900005,한마음병원,"제주특별자치도 제주시 연신로 52-  (이도이동,(이도이동))",064-750-9119,33.4962612399279,126.54622454609036,20,4,제주특별자치도,16.0,2.0,N,N,N,Y,N,Y,N,Y,Y,0.8,원활
A2100039,한양대학교구리병원,경기도 구리시 경춘로 153 (교문동),031-560-2051,37.6012760077,127.13250756940002,19,9,경기도,4.0,9.0,Y,N,Y,Y,N,N,Y,N,N0,0.21052631578947367,혼잡
A1400004,현대유비스병원,인천광역시 미추홀구 독배로 503 (숭의동),032-890-5582,37.46174383349464,126.64314168953122,18,6,인천광역시,13.0,6.0,N,N,N,N,N,Y,Y,N,Y,0.7222222222222222,원활
A1100051,혜민병원,서울특별시 광진구 자양로 85 (자양동),02-2049-9119,37.535315660180416,127.08360130258502,10,5,서울특별시,9.0,5.0,N,N,N,N,N,N,N,N,N,0.9,원활
